id,query,task_type,selected_model,selected_budget,output_text,score,is_correct,expected_answer,extracted_answer,prompt_tokens,completion_tokens,total_tokens,cost_usd,latency_s,created_at,metadata
1,A store had 12 apples and sold 5. How many apples are left?,gsm8k,mock-cheap,0,Mock response for gsm8k. Final answer: 7,1.0,True,7,7,13,7,20,0.0,6.599999323952943e-06,2026-04-17 05:15:15.003640+00:00,"{'sample_id': 'gsm8k_day1_001', 'split': 'train', 'experiment': 'frozen_grid'}"
2,A store had 12 apples and sold 5. How many apples are left?,gsm8k,mock-cheap,256,Mock response for gsm8k. Final answer: 7,1.0,True,7,7,13,7,20,0.0,7.300001016119495e-06,2026-04-17 05:15:15.006009+00:00,"{'sample_id': 'gsm8k_day1_001', 'split': 'train', 'experiment': 'frozen_grid'}"
3,A store had 12 apples and sold 5. How many apples are left?,gsm8k,mock-cheap,1024,Mock response for gsm8k. Final answer: 7,1.0,True,7,7,13,7,20,0.0,7.400001777568832e-06,2026-04-17 05:15:15.009101+00:00,"{'sample_id': 'gsm8k_day1_001', 'split': 'train', 'experiment': 'frozen_grid'}"
4,A store had 12 apples and sold 5. How many apples are left?,gsm8k,mock-strong,0,Mock response for gsm8k. Final answer: 7,1.0,True,7,7,13,7,20,1.1999999999999999e-05,7.099999493220821e-06,2026-04-17 05:15:15.011636+00:00,"{'sample_id': 'gsm8k_day1_001', 'split': 'train', 'experiment': 'frozen_grid'}"
5,A store had 12 apples and sold 5. How many apples are left?,gsm8k,mock-strong,256,Mock response for gsm8k. Final answer: 7,1.0,True,7,7,13,7,20,1.1999999999999999e-05,8.099999831756577e-06,2026-04-17 05:15:15.014499+00:00,"{'sample_id': 'gsm8k_day1_001', 'split': 'train', 'experiment': 'frozen_grid'}"
6,A store had 12 apples and sold 5. How many apples are left?,gsm8k,mock-strong,1024,Mock response for gsm8k. Final answer: 7,1.0,True,7,7,13,7,20,1.1999999999999999e-05,1.1699998140102252e-05,2026-04-17 05:15:15.017236+00:00,"{'sample_id': 'gsm8k_day1_001', 'split': 'train', 'experiment': 'frozen_grid'}"
7,Tom has 3 bags with 4 marbles in each bag. How many marbles does he have?,gsm8k,mock-cheap,0,Mock response for gsm8k. Final answer: 12,1.0,True,12,12,16,7,23,0.0,7.200000254670158e-06,2026-04-17 05:15:15.019955+00:00,"{'sample_id': 'gsm8k_day1_002', 'split': 'train', 'experiment': 'frozen_grid'}"
8,Tom has 3 bags with 4 marbles in each bag. How many marbles does he have?,gsm8k,mock-cheap,256,Mock response for gsm8k. Final answer: 12,1.0,True,12,12,16,7,23,0.0,8.39999847812578e-06,2026-04-17 05:15:15.022566+00:00,"{'sample_id': 'gsm8k_day1_002', 'split': 'train', 'experiment': 'frozen_grid'}"
9,Tom has 3 bags with 4 marbles in each bag. How many marbles does he have?,gsm8k,mock-cheap,1024,Mock response for gsm8k. Final answer: 12,1.0,True,12,12,16,7,23,0.0,7.099999493220821e-06,2026-04-17 05:15:15.025013+00:00,"{'sample_id': 'gsm8k_day1_002', 'split': 'train', 'experiment': 'frozen_grid'}"
10,Tom has 3 bags with 4 marbles in each bag. How many marbles does he have?,gsm8k,mock-strong,0,Mock response for gsm8k. Final answer: 12,1.0,True,12,12,16,7,23,1.3799999999999998e-05,6.70000008540228e-06,2026-04-17 05:15:15.027736+00:00,"{'sample_id': 'gsm8k_day1_002', 'split': 'train', 'experiment': 'frozen_grid'}"
