id,query,task_type,selected_model,selected_budget,output_text,score,is_correct,expected_answer,extracted_answer,prompt_tokens,completion_tokens,total_tokens,cost_usd,latency_s,created_at,metadata
1,"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",gsm8k,qwen3.5-flash-2026-02-23,0,Natalia sold 72 clips altogether.,1.0,True,72,72,67,376,443,0.000127141,3.776336800001445,2026-04-18 04:43:00.912875+00:00,"{'sample_id': 'gsm8k_train_001', 'split': 'train', 'experiment': 'jsonl_grid'}"
2,"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",gsm8k,qwen3.5-flash-2026-02-23,256,"Natalia sold 48 clips in April. In May, she sold half as many, which is $48 \div 2 = 24$ clips. Adding the two months together gives $48 + 24 = 72$ clips.

**72**",1.0,True,72,72,64,379,443,0.000127141,2.612207700003637,2026-04-18 04:43:03.529187+00:00,"{'sample_id': 'gsm8k_train_001', 'split': 'train', 'experiment': 'jsonl_grid'}"
3,"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",gsm8k,qwen3.5-flash-2026-02-23,1024,"Here is the step-by-step reasoning to solve the problem:

1.  **Find the number of clips sold in April:**
    The problem states that Natalia sold clips to 48 friends in April. We assume this means she sold **48 clips**.

2.  **Find the number of clips sold in May:**
    She sold half as many clips in May as she did in April.
    $$48 \div 2 = 24$$
    So, she sold **24 clips** in May.

3.  **Calculate the total number of clips sold:**
    Add the clips sold in April and May together.
    $$48 + 24 = 72$$

**Answer:**
Natalia sold **72** clips altogether in April and May.",1.0,True,72,72,67,1023,1090,0.00031283,7.650622300003306,2026-04-18 04:43:11.183877+00:00,"{'sample_id': 'gsm8k_train_001', 'split': 'train', 'experiment': 'jsonl_grid'}"
4,"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?",gsm8k,qwen3.5-flash-2026-02-23,0,She earned $10.,1.0,True,10,10,60,515,575,0.0001650249999999,5.478269499988528,2026-04-18 04:43:17.183056+00:00,"{'sample_id': 'gsm8k_train_002', 'split': 'train', 'experiment': 'jsonl_grid'}"
5,"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?",gsm8k,qwen3.5-flash-2026-02-23,256,"Weng earns $12 per hour, which is equivalent to $0.20 per minute ($12 ÷ 60 minutes). To find her earnings for 50 minutes, multiply the per-minute rate by the time worked: 50 × $0.20 = $10.

$10",1.0,True,10,10,57,657,714,0.0002049179999999,5.597697699995479,2026-04-18 04:43:22.784954+00:00,"{'sample_id': 'gsm8k_train_002', 'split': 'train', 'experiment': 'jsonl_grid'}"
6,"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?",gsm8k,qwen3.5-flash-2026-02-23,1024,"To find out how much Weng earned, we need to calculate her pay based on the portion of the hour she worked.

**Step 1: Determine the pay per minute.**
Since there are 60 minutes in an hour, we can divide her hourly rate by 60 to find out how much she earns per minute.
$$ \$12 \div 60 \text{ minutes} = \$0.20 \text{ per minute} $$

**Step 2: Calculate total earnings.**
Multiply the per-minute rate by the number of minutes she worked.
$$ \$0.20 \times 50 \text{ minutes} = \$10.00 $$

**Check:**
If she worked a full hour (60 minutes), she would earn $12. Since 50 minutes is slightly less than an hour (specifically $\frac{5}{6}$ of an hour), her earnings should be slightly less than $12.
$$ \$12 \times \frac{5}{6} = \$10 $$
The calculation holds up.

**Answer:**
Weng earned **$10**.",1.0,True,10,10,60,947,1007,0.0002890089999999,8.672504599991953,2026-04-18 04:43:31.462637+00:00,"{'sample_id': 'gsm8k_train_002', 'split': 'train', 'experiment': 'jsonl_grid'}"
7,"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?",gsm8k,qwen3.5-flash-2026-02-23,0,Betty needs $5 more.,1.0,True,5,5,90,525,615,0.0001765049999999,3.652524400007678,2026-04-18 04:43:35.641744+00:00,"{'sample_id': 'gsm8k_train_003', 'split': 'train', 'experiment': 'jsonl_grid'}"
8,"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?",gsm8k,qwen3.5-flash-2026-02-23,256,"Betty starts with $50 (half of the $100 cost). Her parents contribute $15, and her grandparents contribute $30 (twice the parents' amount). This brings her total funds to $95 ($50 + $15 + $30). Therefore, she still needs $5 to reach the $100 goal.

$5",1.0,True,5,5,87,768,855,0.000245385,5.976541500000167,2026-04-18 04:43:41.622672+00:00,"{'sample_id': 'gsm8k_train_003', 'split': 'train', 'experiment': 'jsonl_grid'}"
9,"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?",gsm8k,qwen3.5-flash-2026-02-23,1024,"Here is the step-by-step breakdown to solve the problem:

1.  **Determine the cost of the wallet:**
    The wallet costs **$100**.

2.  **Calculate how much money Betty currently has:**
    She has half of the money she needs.
    $100 / 2 = **$50**

3.  **Calculate the contribution from her parents:**
    Her parents gave her **$15**.

4.  **Calculate the contribution from her grandparents:**
    They gave twice as much as her parents.
    $15 x 2 = **$30**

5.  **Calculate the total money Betty has now:**
    Add her savings, her parents' gift, and her grandparents' gift together.
    $50 (savings) + $15 (parents) + $30 (grandparents) = **$95**

6.  **Calculate how much more she needs:**
    Subtract the total money she has from the cost of the wallet.
    $100 (cost) - $95 (total money) = **$5**

Betty needs **$5** more to buy the wallet.",1.0,True,5,5,90,1085,1175,0.0003372249999999,8.131945699991775,2026-04-18 04:43:49.759110+00:00,"{'sample_id': 'gsm8k_train_003', 'split': 'train', 'experiment': 'jsonl_grid'}"
10,"Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?",gsm8k,qwen3.5-flash-2026-02-23,0,42,1.0,True,42,42,83,397,480,0.0001377599999999,3.687367899998208,2026-04-18 04:43:54.018579+00:00,"{'sample_id': 'gsm8k_train_004', 'split': 'train', 'experiment': 'jsonl_grid'}"
