id,query,task_type,selected_model,selected_budget,output_text,score,is_correct,expected_answer,extracted_answer,prompt_tokens,completion_tokens,total_tokens,cost_usd,latency_s,created_at,metadata
13,A store had 12 apples and sold 5. How many apples are left?,gsm8k,mock-cheap,0,Mock response for gsm8k. Final answer: 7,1.0,True,7,7,13,7,20,0.0,7.90000194683671e-06,2026-04-17 02:47:22.606659+00:00,"{'sample_id': 'gsm8k_day1_001', 'experiment': 'day1_grid'}"
14,A store had 12 apples and sold 5. How many apples are left?,gsm8k,mock-cheap,256,Mock response for gsm8k. Final answer: 7,1.0,True,7,7,13,7,20,0.0,9.499999578110874e-06,2026-04-17 02:47:22.609204+00:00,"{'sample_id': 'gsm8k_day1_001', 'experiment': 'day1_grid'}"
15,A store had 12 apples and sold 5. How many apples are left?,gsm8k,mock-cheap,1024,Mock response for gsm8k. Final answer: 7,1.0,True,7,7,13,7,20,0.0,1.0799998563015833e-05,2026-04-17 02:47:22.613481+00:00,"{'sample_id': 'gsm8k_day1_001', 'experiment': 'day1_grid'}"
16,A store had 12 apples and sold 5. How many apples are left?,gsm8k,mock-strong,0,Mock response for gsm8k. Final answer: 7,1.0,True,7,7,13,7,20,1.1999999999999999e-05,1.0699997801566496e-05,2026-04-17 02:47:22.616653+00:00,"{'sample_id': 'gsm8k_day1_001', 'experiment': 'day1_grid'}"
17,A store had 12 apples and sold 5. How many apples are left?,gsm8k,mock-strong,256,Mock response for gsm8k. Final answer: 7,1.0,True,7,7,13,7,20,1.1999999999999999e-05,9.799998224480078e-06,2026-04-17 02:47:22.619804+00:00,"{'sample_id': 'gsm8k_day1_001', 'experiment': 'day1_grid'}"
18,A store had 12 apples and sold 5. How many apples are left?,gsm8k,mock-strong,1024,Mock response for gsm8k. Final answer: 7,1.0,True,7,7,13,7,20,1.1999999999999999e-05,1.939999856404029e-05,2026-04-17 02:47:22.623448+00:00,"{'sample_id': 'gsm8k_day1_001', 'experiment': 'day1_grid'}"
19,Tom has 3 bags with 4 marbles in each bag. How many marbles does he have?,gsm8k,mock-cheap,0,Mock response for gsm8k. Final answer: 12,1.0,True,12,12,16,7,23,0.0,9.50000321608968e-06,2026-04-17 02:47:22.627995+00:00,"{'sample_id': 'gsm8k_day1_002', 'experiment': 'day1_grid'}"
20,Tom has 3 bags with 4 marbles in each bag. How many marbles does he have?,gsm8k,mock-cheap,256,Mock response for gsm8k. Final answer: 12,1.0,True,12,12,16,7,23,0.0,1.460000203223899e-05,2026-04-17 02:47:22.630995+00:00,"{'sample_id': 'gsm8k_day1_002', 'experiment': 'day1_grid'}"
21,Tom has 3 bags with 4 marbles in each bag. How many marbles does he have?,gsm8k,mock-cheap,1024,Mock response for gsm8k. Final answer: 12,1.0,True,12,12,16,7,23,0.0,1.1199997970834374e-05,2026-04-17 02:47:22.635513+00:00,"{'sample_id': 'gsm8k_day1_002', 'experiment': 'day1_grid'}"
22,Tom has 3 bags with 4 marbles in each bag. How many marbles does he have?,gsm8k,mock-strong,0,Mock response for gsm8k. Final answer: 12,1.0,True,12,12,16,7,23,1.3799999999999998e-05,1.2799999240087345e-05,2026-04-17 02:47:22.639470+00:00,"{'sample_id': 'gsm8k_day1_002', 'experiment': 'day1_grid'}"
23,Tom has 3 bags with 4 marbles in each bag. How many marbles does he have?,gsm8k,mock-strong,256,Mock response for gsm8k. Final answer: 12,1.0,True,12,12,16,7,23,1.3799999999999998e-05,9.999999747378752e-06,2026-04-17 02:47:22.642734+00:00,"{'sample_id': 'gsm8k_day1_002', 'experiment': 'day1_grid'}"
24,Tom has 3 bags with 4 marbles in each bag. How many marbles does he have?,gsm8k,mock-strong,1024,Mock response for gsm8k. Final answer: 12,1.0,True,12,12,16,7,23,1.3799999999999998e-05,1.1600001016631722e-05,2026-04-17 02:47:22.646598+00:00,"{'sample_id': 'gsm8k_day1_002', 'experiment': 'day1_grid'}"
25,Lena read 8 pages on Monday and 9 pages on Tuesday. How many pages did she read?,gsm8k,mock-cheap,0,Mock response for gsm8k. Final answer: 17,1.0,True,17,17,17,7,24,0.0,1.0399999155197293e-05,2026-04-17 02:47:22.650061+00:00,"{'sample_id': 'gsm8k_day1_003', 'experiment': 'day1_grid'}"
26,Lena read 8 pages on Monday and 9 pages on Tuesday. How many pages did she read?,gsm8k,mock-cheap,256,Mock response for gsm8k. Final answer: 17,1.0,True,17,17,17,7,24,0.0,9.20000093174167e-06,2026-04-17 02:47:22.653757+00:00,"{'sample_id': 'gsm8k_day1_003', 'experiment': 'day1_grid'}"
27,Lena read 8 pages on Monday and 9 pages on Tuesday. How many pages did she read?,gsm8k,mock-cheap,1024,Mock response for gsm8k. Final answer: 17,1.0,True,17,17,17,7,24,0.0,9.099996532313526e-06,2026-04-17 02:47:22.657068+00:00,"{'sample_id': 'gsm8k_day1_003', 'experiment': 'day1_grid'}"
28,Lena read 8 pages on Monday and 9 pages on Tuesday. How many pages did she read?,gsm8k,mock-strong,0,Mock response for gsm8k. Final answer: 17,1.0,True,17,17,17,7,24,1.44e-05,1.2000000424450263e-05,2026-04-17 02:47:22.661034+00:00,"{'sample_id': 'gsm8k_day1_003', 'experiment': 'day1_grid'}"
29,Lena read 8 pages on Monday and 9 pages on Tuesday. How many pages did she read?,gsm8k,mock-strong,256,Mock response for gsm8k. Final answer: 17,1.0,True,17,17,17,7,24,1.44e-05,1.2700002116616815e-05,2026-04-17 02:47:22.666510+00:00,"{'sample_id': 'gsm8k_day1_003', 'experiment': 'day1_grid'}"
