id,schema_version,query_id,benchmark,query,query_text,task_type,selected_model,selected_model_provider,selected_model_tier,selected_model_alias,selected_budget,selected_budget_id,budget_config,output_text,parsed_output,score,is_correct,expected_answer,extracted_answer,judge_metadata,prompt_tokens,completion_tokens,total_tokens,cost_usd,latency_s,error_type,router_features,route_reason,candidate_set_signature,prompt_template_version,provider_response_meta,route_confidence,fallback_triggered,fallback_reason,created_at,metadata
1,2,gsm8k_train_001,gsm8k,"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?","Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",gsm8k,qwen3.5-flash-2026-02-23,qwen,cheap,qwen-flash,0,budget-0,"{'budget_id': 'budget-0', 'effort_level': 'minimal', 'max_output_tokens': 256, 'provider_controls': {'reasoning_effort': 'minimal', 'reasoning_mode': 'minimal'}, 'prompt_template_version': 'v2', 'legacy_budget': 0}",Natalia sold 72 clips altogether.,72,1.0,True,72,72,"{'task_type': 'gsm8k', 'comparison': 'numeric_exact_match'}",67,701,768,0.000220416,8.87814939999953,,{},,"models=qwen3.5-flash-2026-02-23,qwen3.5-plus-2026-02-15,qwen3-max-2026-01-23|budgets=0,256,1024",v2,"{'id': 'chatcmpl-05048d7f-eb3d-92f5-8b8d-02487d232a3d', 'model': 'qwen3.5-flash-2026-02-23', 'provider': 'qwen', 'tier': 'cheap', 'budget_id': 'budget-0', 'cache_hit': False}",,False,,2026-04-24 15:52:23.607813+00:00,"{'sample_id': 'gsm8k_train_001', 'split': 'train', 'experiment': 'jsonl_grid', 'cache_hit': False, 'selected_model_provider': 'qwen', 'selected_model_tier': 'cheap', 'selected_model_alias': 'qwen-flash'}"
2,2,gsm8k_train_001,gsm8k,"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?","Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",gsm8k,qwen3.5-flash-2026-02-23,qwen,cheap,qwen-flash,256,budget-256,"{'budget_id': 'budget-256', 'effort_level': 'brief', 'max_output_tokens': 600, 'provider_controls': {'reasoning_effort': 'brief'}, 'prompt_template_version': 'v2', 'legacy_budget': 256}","Natalia sold 48 clips in April. In May, she sold half that amount, which is $48 \div 2 = 24$ clips. Adding the two months together gives $48 + 24 = 72$.

**72**",72,1.0,True,72,72,"{'task_type': 'gsm8k', 'comparison': 'numeric_exact_match'}",64,404,468,0.000134316,4.1003068999852985,,{},,"models=qwen3.5-flash-2026-02-23,qwen3.5-plus-2026-02-15,qwen3-max-2026-01-23|budgets=0,256,1024",v2,"{'id': 'chatcmpl-7a5fb498-485b-9e73-889f-a7df63eb4d56', 'model': 'qwen3.5-flash-2026-02-23', 'provider': 'qwen', 'tier': 'cheap', 'budget_id': 'budget-256', 'cache_hit': False}",,False,,2026-04-24 15:52:27.721836+00:00,"{'sample_id': 'gsm8k_train_001', 'split': 'train', 'experiment': 'jsonl_grid', 'cache_hit': False, 'selected_model_provider': 'qwen', 'selected_model_tier': 'cheap', 'selected_model_alias': 'qwen-flash'}"
3,2,gsm8k_train_001,gsm8k,"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?","Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",gsm8k,qwen3.5-flash-2026-02-23,qwen,cheap,qwen-flash,1024,budget-1024,"{'budget_id': 'budget-1024', 'effort_level': 'medium', 'max_output_tokens': 1200, 'provider_controls': {'reasoning_effort': 'medium'}, 'prompt_template_version': 'v2', 'legacy_budget': 1024}","Here is the step-by-step reasoning to solve the problem:

1.  **Find the number of clips sold in April:**
    The problem states that Natalia sold clips to 48 friends in April. We assume this means she sold **48** clips.

2.  **Find the number of clips sold in May:**
    She sold half as many clips in May as she did in April.
    $$48 \div 2 = 24$$
    So, she sold **24** clips in May.

3.  **Calculate the total number of clips sold:**
    Add the clips sold in April and May together.
    $$48 \text{ (April)} + 24 \text{ (May)} = 72$$

**Answer:**
Natalia sold a total of **72** clips altogether in April and May.",72,1.0,True,72,72,"{'task_type': 'gsm8k', 'comparison': 'numeric_exact_match'}",67,1016,1083,0.00031082099999999997,14.402913100027945,,{},,"models=qwen3.5-flash-2026-02-23,qwen3.5-plus-2026-02-15,qwen3-max-2026-01-23|budgets=0,256,1024",v2,"{'id': 'chatcmpl-98707664-ac5e-934b-ab40-f923f611015c', 'model': 'qwen3.5-flash-2026-02-23', 'provider': 'qwen', 'tier': 'cheap', 'budget_id': 'budget-1024', 'cache_hit': False}",,False,,2026-04-24 15:52:42.141546+00:00,"{'sample_id': 'gsm8k_train_001', 'split': 'train', 'experiment': 'jsonl_grid', 'cache_hit': False, 'selected_model_provider': 'qwen', 'selected_model_tier': 'cheap', 'selected_model_alias': 'qwen-flash'}"
4,2,gsm8k_train_001,gsm8k,"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?","Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",gsm8k,qwen3.5-plus-2026-02-15,qwen,mid,qwen-plus,0,budget-0,"{'budget_id': 'budget-0', 'effort_level': 'minimal', 'max_output_tokens': 256, 'provider_controls': {'reasoning_effort': 'minimal', 'reasoning_mode': 'minimal'}, 'prompt_template_version': 'v2', 'legacy_budget': 0}",Natalia sold 72 clips altogether.,72,1.0,True,72,72,"{'task_type': 'gsm8k', 'comparison': 'numeric_exact_match'}",67,414,481,0.0005771999999999999,8.035436900041532,,{},,"models=qwen3.5-flash-2026-02-23,qwen3.5-plus-2026-02-15,qwen3-max-2026-01-23|budgets=0,256,1024",v2,"{'id': 'chatcmpl-1214623d-fb1d-927a-93a8-8277ace893eb', 'model': 'qwen3.5-plus-2026-02-15', 'provider': 'qwen', 'tier': 'mid', 'budget_id': 'budget-0', 'cache_hit': False}",,False,,2026-04-24 15:52:51.117307+00:00,"{'sample_id': 'gsm8k_train_001', 'split': 'train', 'experiment': 'jsonl_grid', 'cache_hit': False, 'selected_model_provider': 'qwen', 'selected_model_tier': 'mid', 'selected_model_alias': 'qwen-plus'}"
5,2,gsm8k_train_001,gsm8k,"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?","Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",gsm8k,qwen3.5-plus-2026-02-15,qwen,mid,qwen-plus,256,budget-256,"{'budget_id': 'budget-256', 'effort_level': 'brief', 'max_output_tokens': 600, 'provider_controls': {'reasoning_effort': 'brief'}, 'prompt_template_version': 'v2', 'legacy_budget': 256}","First, calculate the number of clips sold in May by taking half of April's sales: $48 / 2 = 24$ clips.

Next, add the clips sold in April and May together to find the total: $48 + 24 = 72$ clips.

**72 clips**",72,1.0,True,72,72,"{'task_type': 'gsm8k', 'comparison': 'numeric_exact_match'}",64,457,521,0.0006252,8.922097600006964,,{},,"models=qwen3.5-flash-2026-02-23,qwen3.5-plus-2026-02-15,qwen3-max-2026-01-23|budgets=0,256,1024",v2,"{'id': 'chatcmpl-0f0702c3-ed25-9c9e-ac6d-b4154a7dfe3d', 'model': 'qwen3.5-plus-2026-02-15', 'provider': 'qwen', 'tier': 'mid', 'budget_id': 'budget-256', 'cache_hit': False}",,False,,2026-04-24 15:53:00.055220+00:00,"{'sample_id': 'gsm8k_train_001', 'split': 'train', 'experiment': 'jsonl_grid', 'cache_hit': False, 'selected_model_provider': 'qwen', 'selected_model_tier': 'mid', 'selected_model_alias': 'qwen-plus'}"
6,2,gsm8k_train_001,gsm8k,"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?","Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",gsm8k,qwen3.5-plus-2026-02-15,qwen,mid,qwen-plus,1024,budget-1024,"{'budget_id': 'budget-1024', 'effort_level': 'medium', 'max_output_tokens': 1200, 'provider_controls': {'reasoning_effort': 'medium'}, 'prompt_template_version': 'v2', 'legacy_budget': 1024}","Here is the step-by-step calculation:

1.  **Find the number of clips sold in May:**
    Natalia sold half as many clips in May as she did in April.
    $48 \div 2 = 24$ clips

2.  **Find the total number of clips sold:**
    Add the clips sold in April to the clips sold in May.
    $48 + 24 = 72$ clips

Natalia sold **72** clips altogether.",72,1.0,True,72,72,"{'task_type': 'gsm8k', 'comparison': 'numeric_exact_match'}",67,602,669,0.0008028,11.783984400040936,,{},,"models=qwen3.5-flash-2026-02-23,qwen3.5-plus-2026-02-15,qwen3-max-2026-01-23|budgets=0,256,1024",v2,"{'id': 'chatcmpl-61cfbde4-d0a8-9142-a020-54c91d49a834', 'model': 'qwen3.5-plus-2026-02-15', 'provider': 'qwen', 'tier': 'mid', 'budget_id': 'budget-1024', 'cache_hit': False}",,False,,2026-04-24 15:53:11.855058+00:00,"{'sample_id': 'gsm8k_train_001', 'split': 'train', 'experiment': 'jsonl_grid', 'cache_hit': False, 'selected_model_provider': 'qwen', 'selected_model_tier': 'mid', 'selected_model_alias': 'qwen-plus'}"
7,2,gsm8k_train_001,gsm8k,"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?","Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",gsm8k,qwen3-max-2026-01-23,qwen,strong,qwen-max,0,budget-0,"{'budget_id': 'budget-0', 'effort_level': 'minimal', 'max_output_tokens': 256, 'provider_controls': {'reasoning_effort': 'minimal', 'reasoning_mode': 'minimal'}, 'prompt_template_version': 'v2', 'legacy_budget': 0}","Natalia sold 48 clips in April and half as many in May, which is 48 ÷ 2 = 24 clips.  
Altogether, she sold 48 + 24 = **72 clips**.",72,1.0,True,72,72,"{'task_type': 'gsm8k', 'comparison': 'numeric_exact_match'}",66,53,119,0.00047599999999999997,2.0315719000063837,,{},,"models=qwen3.5-flash-2026-02-23,qwen3.5-plus-2026-02-15,qwen3-max-2026-01-23|budgets=0,256,1024",v2,"{'id': 'chatcmpl-5cc20ed4-05b6-9e1a-86eb-bedbfc791178', 'model': 'qwen3-max-2026-01-23', 'provider': 'qwen', 'tier': 'strong', 'budget_id': 'budget-0', 'cache_hit': False}",,False,,2026-04-24 15:53:14.918582+00:00,"{'sample_id': 'gsm8k_train_001', 'split': 'train', 'experiment': 'jsonl_grid', 'cache_hit': False, 'selected_model_provider': 'qwen', 'selected_model_tier': 'strong', 'selected_model_alias': 'qwen-max'}"
8,2,gsm8k_train_001,gsm8k,"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?","Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",gsm8k,qwen3-max-2026-01-23,qwen,strong,qwen-max,256,budget-256,"{'budget_id': 'budget-256', 'effort_level': 'brief', 'max_output_tokens': 600, 'provider_controls': {'reasoning_effort': 'brief'}, 'prompt_template_version': 'v2', 'legacy_budget': 256}","In April, Natalia sold clips to **48** friends.

In May, she sold **half as many**, which is:

$$
\frac{48}{2} = 24
$$

So, the total number of clips sold in April and May is:

$$
48 + 24 = 72
$$

**Answer: 72**",72,1.0,True,72,72,"{'task_type': 'gsm8k', 'comparison': 'numeric_exact_match'}",63,80,143,0.0005719999999999999,3.0619128000107594,,{},,"models=qwen3.5-flash-2026-02-23,qwen3.5-plus-2026-02-15,qwen3-max-2026-01-23|budgets=0,256,1024",v2,"{'id': 'chatcmpl-8d466144-e5ca-91ed-8576-9e98408ea641', 'model': 'qwen3-max-2026-01-23', 'provider': 'qwen', 'tier': 'strong', 'budget_id': 'budget-256', 'cache_hit': False}",,False,,2026-04-24 15:53:17.996168+00:00,"{'sample_id': 'gsm8k_train_001', 'split': 'train', 'experiment': 'jsonl_grid', 'cache_hit': False, 'selected_model_provider': 'qwen', 'selected_model_tier': 'strong', 'selected_model_alias': 'qwen-max'}"
9,2,gsm8k_train_001,gsm8k,"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?","Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",gsm8k,qwen3-max-2026-01-23,qwen,strong,qwen-max,1024,budget-1024,"{'budget_id': 'budget-1024', 'effort_level': 'medium', 'max_output_tokens': 1200, 'provider_controls': {'reasoning_effort': 'medium'}, 'prompt_template_version': 'v2', 'legacy_budget': 1024}","In April, Natalia sold clips to **48** friends.

In May, she sold **half as many** as in April:  
$$
\frac{1}{2} \times 48 = 24
$$

So, the total number of clips sold in April and May is:  
$$
48 + 24 = 72
$$

**Answer: 72 clips**",72,1.0,True,72,72,"{'task_type': 'gsm8k', 'comparison': 'numeric_exact_match'}",66,88,154,0.000616,3.406963200017344,,{},,"models=qwen3.5-flash-2026-02-23,qwen3.5-plus-2026-02-15,qwen3-max-2026-01-23|budgets=0,256,1024",v2,"{'id': 'chatcmpl-dc0837bb-ab3f-9aa2-8f5b-b111a43e0fb3', 'model': 'qwen3-max-2026-01-23', 'provider': 'qwen', 'tier': 'strong', 'budget_id': 'budget-1024', 'cache_hit': False}",,False,,2026-04-24 15:53:21.417172+00:00,"{'sample_id': 'gsm8k_train_001', 'split': 'train', 'experiment': 'jsonl_grid', 'cache_hit': False, 'selected_model_provider': 'qwen', 'selected_model_tier': 'strong', 'selected_model_alias': 'qwen-max'}"
10,2,gsm8k_train_002,gsm8k,"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?","Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?",gsm8k,qwen3.5-flash-2026-02-23,qwen,cheap,qwen-flash,0,budget-0,"{'budget_id': 'budget-0', 'effort_level': 'minimal', 'max_output_tokens': 256, 'provider_controls': {'reasoning_effort': 'minimal', 'reasoning_mode': 'minimal'}, 'prompt_template_version': 'v2', 'legacy_budget': 0}",$10,10,1.0,True,10,10,"{'task_type': 'gsm8k', 'comparison': 'numeric_exact_match'}",60,313,373,0.00010705099999999999,5.964174800028559,,{},,"models=qwen3.5-flash-2026-02-23,qwen3.5-plus-2026-02-15,qwen3-max-2026-01-23|budgets=0,256,1024",v2,"{'id': 'chatcmpl-be832faf-341b-9eea-8ae5-5cacf26b4a8a', 'model': 'qwen3.5-flash-2026-02-23', 'provider': 'qwen', 'tier': 'cheap', 'budget_id': 'budget-0', 'cache_hit': False}",,False,,2026-04-24 15:53:28.368670+00:00,"{'sample_id': 'gsm8k_train_002', 'split': 'train', 'experiment': 'jsonl_grid', 'cache_hit': False, 'selected_model_provider': 'qwen', 'selected_model_tier': 'cheap', 'selected_model_alias': 'qwen-flash'}"
